gene	family	frequency									
DMAP1	 SRCAP complex	4									
ACTL6A	 SRCAP complex	4									
RUVBL1	 SRCAP complex	4									
YEATS4	 SRCAP complex	4									
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferases	2									
LCLAT1	1-acylglycerol-3-phosphate O-acyltransferases	2									
YWHAZ	14-3-3 phospho-serine/phospho-threonine binding proteins	1									
NT5C2	5'-nucleotidases	2									
NT5C3A	5'-nucleotidases	2									
PELP1	5FMC ribosome biogenesis complex	3									
NOL9	5FMC ribosome biogenesis complex	3									
WDR18	5FMC ribosome biogenesis complex	3									
PFKFB3	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases	1									
AKAP8	A-kinase anchoring proteins	5									
CBFA2T3	A-kinase anchoring proteins	5									
AKAP10	A-kinase anchoring proteins	5									
ARFGEF2	A-kinase anchoring proteins	5									
RAB32	A-kinase anchoring proteins	5									
ORC4	AAA ATPases	15									
PEX1	AAA ATPases	15									
RFC4	AAA ATPases	15									
SPG7	AAA ATPases	15									
ATAD1	AAA ATPases	15									
VCP	AAA ATPases	15									
AFG3L2	AAA ATPases	15									
YME1L1	AAA ATPases	15									
VPS4B	AAA ATPases	15									
LONP1	AAA ATPases	15									
CLPX	AAA ATPases	15									
MDN1	AAA ATPases	15									
PSMC4	AAA ATPases	15									
PSMC5	AAA ATPases	15									
RFC5	AAA ATPases	15									
ABHD12	Abhydrolase domain containing	4									
ABHD14B	Abhydrolase domain containing	4									
ABHD17B	Abhydrolase domain containing	4									
ABHD16A	Abhydrolase domain containing	4									
ACP1	Acid phosphatases	1									
ARPC3	Actin related protein 2/3 complex 	7									
ARPC5	Actin related protein 2/3 complex 	7									
ACTR3	Actin related protein 2/3 complex 	7									
ARPC2	Actin related protein 2/3 complex 	7									
ARPC4	Actin related protein 2/3 complex 	7									
ARPC1B	Actin related protein 2/3 complex 	7									
ACTR2	Actin related protein 2/3 complex 	7									
ACTN1	Actinins	1									
ACTB	Actins	1									
GCDH	Acyl-CoA dehydrogenase family	6									
ACADL	Acyl-CoA dehydrogenase family	6									
ACAD11	Acyl-CoA dehydrogenase family	6									
ACAD9	Acyl-CoA dehydrogenase family	6									
ACADM	Acyl-CoA dehydrogenase family	6									
ACADS	Acyl-CoA dehydrogenase family	6									
